usa_symbol	usa_address	ita_address	confidence	status	structural_score	length_score	raw_similarity	direct_score	sequence_score	neighbor_score	candidate_margin	propagation_support	direct_evidence	propagated_evidence	chain_dependency	suspicious	pass1_address	pass1_status	final_score
_SSAnneCaptainsRoomTrashText	0x5480	0x5626	0.943	HIGH_CONFIDENCE	0.909	0.853	0.172	0.896	0.281	0.952	0.896	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x5626	AMBIGUOUS	0.896
_SSAnneCaptainsRoomSeasickBookText	0x549D	0x5648	0.863	MEDIUM_CONFIDENCE	0.762	0.853	0.125	0.813	0.335	1.000	0.813	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x5648	AMBIGUOUS	0.813
_SSAnne1FRoomsWigglytuffText	0x54D7	0x568C	0.991	MEDIUM_CONFIDENCE	1.000	1.000	0.692	0.991	0.445	0.000	0.043	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x568C	MEDIUM_CONFIDENCE	0.991
_SSAnne1FRoomsGentleman1BattleText	0x54F1	0x56A6	0.937	HIGH_CONFIDENCE	0.867	0.938	0.094	0.887	0.396	0.987	0.887	2	DIRECT	BOUNDED	YES	EXPECTED_DRIFT	0x56A6	AMBIGUOUS	0.887
_SSAnne1FRoomsGentleman1EndBattleText	0x552E	0x56E7	0.821	MEDIUM_CONFIDENCE	0.800	0.792	0.105	0.821	0.370	0.000	0.047	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x56E7	MEDIUM_CONFIDENCE	0.821
_SSAnne1FRoomsGentleman1AfterBattleText	0x5541	0x56FF	0.879	MEDIUM_CONFIDENCE	0.833	0.750	0.042	0.830	0.443	0.993	0.830	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x56FF	AMBIGUOUS	0.830
_SSAnne1FRoomsGentleman2BattleText	0x5561	0x5717	0.966	HIGH_CONFIDENCE	0.933	0.892	0.156	0.916	0.210	0.986	0.916	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x5717	AMBIGUOUS	0.916
_SSAnne1FRoomsGentleman2EndBattleText	0x5582	0x573C	0.852	MEDIUM_CONFIDENCE	0.750	0.833	0.100	0.802	0.235	0.995	0.802	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x573C	AMBIGUOUS	0.802
_SSAnne1FRoomsGentleman2AfterBattleText	0x559A	0x5750	0.762	MEDIUM_CONFIDENCE	0.667	0.700	0.062	0.713	0.104	0.992	0.713	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x5750	AMBIGUOUS	0.713
_SSAnne1FRoomsYoungsterBattleText	0x55BD	0x5782	0.895	MEDIUM_CONFIDENCE	0.800	0.917	0.091	0.846	0.365	0.973	0.846	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x5782	AMBIGUOUS	0.846
_SSAnne1FRoomsYoungsterEndBattleText	0x55D3	0x579A	0.908	MEDIUM_CONFIDENCE	0.800	0.952	0.250	0.858	0.367	0.996	0.858	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x579A	AMBIGUOUS	0.858
_SSAnne1FRoomsYoungsterAfterBattleText	0x55E7	0x57AF	0.900	MEDIUM_CONFIDENCE	0.783	0.981	0.125	0.850	0.352	0.998	0.850	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x57AF	AMBIGUOUS	0.850
_SSAnne1FRoomsCooltrainerFBattleText	0x561B	0x57E4	0.881	MEDIUM_CONFIDENCE	0.800	0.843	0.094	0.831	0.277	0.997	0.831	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x57E4	AMBIGUOUS	0.831
_SSAnne1FRoomsCooltrainerFEndBattleText	0x564E	0x580F	0.973	HIGH_CONFIDENCE	0.952	0.896	0.031	0.924	0.008	0.980	0.924	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x580F	AMBIGUOUS	0.924
_SSAnne1FRoomsCooltrainerFAfterBattleText	0x5679	0x583F	0.876	MEDIUM_CONFIDENCE	0.812	0.795	0.281	0.827	0.037	0.987	0.827	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x583F	AMBIGUOUS	0.827
_SSAnne1FRoomsGirl1Text	0x56C7	0x587D	0.929	HIGH_CONFIDENCE	0.889	0.843	0.156	0.882	0.000	0.945	0.882	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x587D	AMBIGUOUS	0.882
_SSAnne1FRoomsMiddleAgedManText	0x56F2	0x58B0	0.890	MEDIUM_CONFIDENCE	0.875	0.756	0.156	0.841	0.000	0.978	0.841	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x58B0	AMBIGUOUS	0.841
_SSAnne1FRoomsLittleGirlText	0x5714	0x58DD	0.958	HIGH_CONFIDENCE	0.909	0.941	0.094	0.911	0.000	0.945	0.911	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x58DD	AMBIGUOUS	0.911
_SSAnne1FRoomsGirl2Text	0x5736	0x58FD	1.000	HIGH_CONFIDENCE	1.000	0.946	0.062	0.961	0.000	0.992	0.961	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x58FD	AMBIGUOUS	0.961
_SSAnne1FRoomsGentleman3Text	0x5759	0x5922	0.949	HIGH_CONFIDENCE	0.880	0.938	0.281	0.900	0.000	0.972	0.900	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5922	AMBIGUOUS	0.900
_SSAnne2FRoomsGentleman3Text	0x5799	0x595E	0.864	MEDIUM_CONFIDENCE	0.821	0.946	0.125	0.864	0.000	0.000	0.039	0	DIRECT	NONE	NO	POSSIBLE_DELETION	0x595E	MEDIUM_CONFIDENCE	0.864
_SSAnne2FRoomsGentleman4Text	0x57F5	0x59B5	0.939	MEDIUM_CONFIDENCE	0.963	0.919	0.188	0.939	0.000	0.000	0.031	0	DIRECT	NONE	NO	POSSIBLE_DELETION	0x59B5	MEDIUM_CONFIDENCE	0.939
_SSAnne2FRoomsGrampsText	0x5833	0x59EE	0.817	MEDIUM_CONFIDENCE	0.706	0.846	0.031	0.767	0.000	0.993	0.767	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x59EE	AMBIGUOUS	0.767
_SSAnne2FRoomsGentleman5Text	0x5854	0x5A15	0.931	HIGH_CONFIDENCE	0.857	0.905	0.281	0.881	0.000	0.997	0.881	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5A15	AMBIGUOUS	0.881
_SSAnne2FRoomsLittleBoyText	0x58A8	0x5A61	0.956	HIGH_CONFIDENCE	0.900	0.941	0.125	0.907	0.000	0.988	0.907	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x5A61	AMBIGUOUS	0.907
_SSAnne2FRoomsBrunetteGirlText	0x58DB	0x5A91	0.926	HIGH_CONFIDENCE	0.875	0.857	0.125	0.876	0.000	0.993	0.876	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x5A91	AMBIGUOUS	0.876
_SSAnne2FRoomsBeautyText	0x5905	0x5AC2	0.822	MEDIUM_CONFIDENCE	0.750	0.767	0.062	0.772	0.000	0.996	0.772	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x5AC2	AMBIGUOUS	0.772
_SSAnne2FRoomsGentleman1BattleText	0x5926	0x5AED	0.978	HIGH_CONFIDENCE	0.941	0.938	0.094	0.928	0.000	0.992	0.928	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5AED	AMBIGUOUS	0.928
_SSAnne2FRoomsGentleman1EndBattleText	0x5956	0x5B1A	0.938	HIGH_CONFIDENCE	0.857	0.973	0.094	0.889	0.000	0.993	0.889	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x5B1A	AMBIGUOUS	0.889
_SSAnne2FRoomsGentleman1AfterBattleText	0x597B	0x5B3E	0.910	HIGH_CONFIDENCE	0.857	0.818	0.185	0.861	0.000	0.995	0.861	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x5B3E	AMBIGUOUS	0.861
_SSAnne2FRoomsFisherBattleText	0x599C	0x5B59	0.903	MEDIUM_CONFIDENCE	0.833	0.862	0.080	0.853	0.000	0.989	0.853	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x5B59	AMBIGUOUS	0.853
_SSAnne2FRoomsFisherEndBattleText	0x59B9	0x5B72	0.880	MEDIUM_CONFIDENCE	0.857	0.684	0.077	0.831	0.000	0.991	0.831	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x5B72	AMBIGUOUS	0.831
_SSAnne2FRoomsFisherAfterBattleText	0x59C6	0x5B85	0.951	HIGH_CONFIDENCE	0.909	0.900	0.031	0.901	0.000	0.994	0.901	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5B85	AMBIGUOUS	0.901
_SSAnne2FRoomsGentleman2BattleText	0x59FC	0x5BC1	0.847	MEDIUM_CONFIDENCE	0.727	0.978	0.062	0.797	0.000	0.999	0.797	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x5BC1	AMBIGUOUS	0.797
_SSAnne2FRoomsGentleman2EndBattleText	0x5A29	0x5BED	0.963	HIGH_CONFIDENCE	0.889	1.000	0.150	0.913	0.000	0.992	0.913	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x5BED	AMBIGUOUS	0.913
_SSAnne2FRoomsGentleman2AfterBattleText	0x5A3D	0x5C01	0.922	HIGH_CONFIDENCE	0.857	0.970	0.094	0.872	0.000	0.996	0.872	2	DIRECT	BOUNDED	YES	EXPECTED_DRIFT	0x5C01	AMBIGUOUS	0.872
_SSAnne2FRoomsCooltrainerFBattleText	0x5A5D	0x5C22	1.000	HIGH_CONFIDENCE	1.000	0.939	0.097	0.961	0.000	0.995	0.961	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5C22	AMBIGUOUS	0.961
_SSAnne2FRoomsCooltrainerFEndBattleText	0x5A7C	0x5C43	1.000	HIGH_CONFIDENCE	1.000	1.000	0.333	0.980	0.000	0.997	0.980	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5C43	AMBIGUOUS	0.980
_SSAnne2FRoomsCooltrainerFAfterBattleText	0x5A8B	0x5C52	0.940	HIGH_CONFIDENCE	0.875	0.912	0.226	0.890	0.000	0.996	0.890	2	DIRECT	BOUNDED	YES	EXPECTED_DRIFT	0x5C52	AMBIGUOUS	0.890
_SSAnneB1FRoomsMachokeText	0x5AAA	0x5C74	1.000	HIGH_CONFIDENCE	1.000	0.920	0.565	0.971	0.000	0.998	0.971	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5C74	AMBIGUOUS	0.971
_SSAnneB1FRoomsSailor1BattleText	0x5AC3	0x5C8B	0.963	HIGH_CONFIDENCE	0.947	0.846	0.094	0.913	0.000	0.989	0.913	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x5C8B	AMBIGUOUS	0.913
_SSAnneB1FRoomsSailor1EndBattleText	0x5AF7	0x5CB7	0.922	HIGH_CONFIDENCE	0.909	0.839	0.077	0.874	0.000	0.966	0.874	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x5CB7	AMBIGUOUS	0.874
_SSAnneB1FRoomsSailor1AfterBattleText	0x5B11	0x5CD6	0.937	HIGH_CONFIDENCE	0.857	0.971	0.062	0.887	0.000	1.000	0.887	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5CD6	AMBIGUOUS	0.887
_SSAnneB1FRoomsSailor2BattleText	0x5B33	0x5CF7	0.880	MEDIUM_CONFIDENCE	0.875	0.721	0.065	0.831	0.000	0.980	0.831	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x5CF7	AMBIGUOUS	0.831
_SSAnneB1FRoomsSailor2EndBattleText	0x5B52	0x5D22	0.763	MEDIUM_CONFIDENCE	0.714	0.579	0.045	0.714	0.000	0.985	0.714	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x5D22	AMBIGUOUS	0.714
_SSAnneB1FRoomsSailor2AfterBattleText	0x5B68	0x5D48	0.943	HIGH_CONFIDENCE	0.889	0.918	0.062	0.894	0.000	0.962	0.894	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5D48	AMBIGUOUS	0.894
_SSAnneB1FRoomsSailor3BattleText	0x5B99	0x5D75	0.905	MEDIUM_CONFIDENCE	0.857	0.818	0.074	0.857	0.000	0.959	0.857	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x5D75	AMBIGUOUS	0.857
_SSAnneB1FRoomsSailor3EndBattleText	0x5BB4	0x5D96	0.957	HIGH_CONFIDENCE	0.909	0.913	0.143	0.907	0.000	0.998	0.907	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5D96	AMBIGUOUS	0.907
_SSAnneB1FRoomsSailor3AfterBattleText	0x5BC9	0x5DAD	0.850	MEDIUM_CONFIDENCE	0.762	0.894	0.094	0.801	0.000	0.988	0.801	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x5DAD	AMBIGUOUS	0.801
_SSAnneB1FRoomsSailor4BattleText	0x5BF3	0x5DDC	0.862	MEDIUM_CONFIDENCE	0.824	0.756	0.032	0.814	0.000	0.975	0.814	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x5DDC	AMBIGUOUS	0.814
_SSAnneB1FRoomsSailor4EndBattleText	0x5C12	0x5E05	0.938	HIGH_CONFIDENCE	0.889	0.889	0.062	0.889	0.000	0.985	0.889	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5E05	AMBIGUOUS	0.889
_SSAnneB1FRoomsSailor4AfterBattleText	0x5C22	0x5E17	0.904	MEDIUM_CONFIDENCE	0.880	0.787	0.094	0.855	0.000	0.978	0.855	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x5E17	AMBIGUOUS	0.855
_SSAnneB1FRoomsSailor5BattleText	0x5C52	0x5E54	0.872	MEDIUM_CONFIDENCE	0.842	0.938	0.031	0.872	0.000	0.000	0.032	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x5E54	MEDIUM_CONFIDENCE	0.872
_SSAnneB1FRoomsSailor5EndBattleText	0x5C7F	0x5E84	0.949	HIGH_CONFIDENCE	0.909	0.889	0.042	0.899	0.000	0.996	0.899	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5E84	AMBIGUOUS	0.899
_SSAnneB1FRoomsSailor5AfterBattleText	0x5C97	0x5E9F	0.929	HIGH_CONFIDENCE	0.875	0.886	0.031	0.879	0.000	0.986	0.879	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5E9F	AMBIGUOUS	0.879
_SSAnneB1FRoomsFisherBattleText	0x5CC3	0x5EC6	0.912	HIGH_CONFIDENCE	0.857	0.886	0.156	0.864	0.000	0.943	0.864	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x5EC6	AMBIGUOUS	0.864
_SSAnneB1FRoomsFisherEndBattleText	0x5D01	0x5F0C	0.710	MEDIUM_CONFIDENCE	0.667	0.688	0.045	0.710	0.000	0.000	0.048	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x5F0C	MEDIUM_CONFIDENCE	0.710
_SSAnneB1FRoomsFisherAfterBattleText	0x5D21	0x5F22	0.944	HIGH_CONFIDENCE	0.889	0.935	0.094	0.899	0.000	0.897	0.899	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x5F22	AMBIGUOUS	0.899
_SSAnneB1FRoomsSuperNerdText	0x5D4C	0x5F50	0.869	MEDIUM_CONFIDENCE	0.875	0.868	0.094	0.869	0.000	0.000	0.049	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x5F50	MEDIUM_CONFIDENCE	0.869
_VictoryRoad3FCooltrainerM1BattleText	0x5D9B	0x5FAB	0.888	MEDIUM_CONFIDENCE	0.889	0.720	0.094	0.840	0.000	0.974	0.840	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x5FAB	AMBIGUOUS	0.840
_VictoryRoad3FCooltrainerM1EndBattleText	0x5DBF	0x5FDD	0.999	HIGH_CONFIDENCE	1.000	0.913	0.048	0.954	0.000	0.904	0.954	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x5FDD	AMBIGUOUS	0.954
_VictoryRoad3FCooltrainerM1AfterBattleText	0x5DD6	0x5FF2	0.914	HIGH_CONFIDENCE	0.857	0.921	0.156	0.864	0.000	0.995	0.864	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x5FF2	AMBIGUOUS	0.864
_VictoryRoad3FCooltrainerF1BattleText	0x5DF9	0x6018	0.800	MEDIUM_CONFIDENCE	0.714	0.703	0.077	0.756	0.000	0.892	0.756	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x6018	AMBIGUOUS	0.756
_VictoryRoad3FCooltrainerF1EndBattleText	0x5E1E	0x6032	0.838	MEDIUM_CONFIDENCE	0.857	0.722	0.077	0.838	0.000	0.000	0.034	0	DIRECT	NONE	NO	POSSIBLE_DELETION	0x6032	MEDIUM_CONFIDENCE	0.838
_VictoryRoad3FCooltrainerF1AfterBattleText	0x5E2B	0x6044	0.942	HIGH_CONFIDENCE	0.875	0.944	0.094	0.893	0.000	0.987	0.893	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x6044	AMBIGUOUS	0.893
_VictoryRoad3FCooltrainerM2BattleText	0x5E4F	0x6066	0.963	HIGH_CONFIDENCE	0.923	0.914	0.125	0.914	0.000	0.972	0.914	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x6066	AMBIGUOUS	0.914
_VictoryRoad3FCooltrainerM2EndBattleText	0x5E6F	0x6089	0.996	HIGH_CONFIDENCE	1.000	0.870	0.100	0.947	0.000	0.989	0.947	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x6089	AMBIGUOUS	0.947
_VictoryRoad3FCooltrainerM2AfterBattleText	0x5E83	0x60A0	0.923	HIGH_CONFIDENCE	0.833	0.968	0.031	0.873	0.000	0.997	0.873	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x60A0	AMBIGUOUS	0.873
_VictoryRoad3FCooltrainerF2BattleText	0x5EC1	0x60DC	0.784	MEDIUM_CONFIDENCE	0.706	0.694	0.094	0.738	0.000	0.907	0.738	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x60DC	AMBIGUOUS	0.738
_VictoryRoad3FCooltrainerF2EndBattleText	0x5EEC	0x611A	0.983	HIGH_CONFIDENCE	1.000	0.762	0.375	0.934	0.000	0.982	0.934	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x611A	AMBIGUOUS	0.934
_VictoryRoad3FCooltrainerF2AfterBattleText	0x5EFC	0x612F	0.783	MEDIUM_CONFIDENCE	0.778	0.708	0.156	0.783	0.000	0.000	0.031	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x612F	MEDIUM_CONFIDENCE	0.783
_RocketHideoutB1FRocket5EndBattleText	0x5F2A	0x6170	0.982	HIGH_CONFIDENCE	1.000	1.000	0.400	0.982	0.000	0.000	0.124	0	DIRECT	NONE	YES	POSSIBLE_INSERTION	0x6170	HIGH_CONFIDENCE	0.982
_RocketHideoutB1FRocket1BattleText	0x5F34	0x617A	0.937	HIGH_CONFIDENCE	0.875	0.917	0.094	0.887	0.000	0.985	0.887	2	DIRECT	BOUNDED	YES	EXPECTED_DRIFT	0x617A	AMBIGUOUS	0.887
_RocketHideoutB1FRocket1EndBattleText	0x5F58	0x619B	0.963	MEDIUM_CONFIDENCE	1.000	0.933	0.214	0.963	0.000	0.000	0.039	0	DIRECT	NONE	NO	POSSIBLE_DELETION	0x619B	MEDIUM_CONFIDENCE	0.963
_RocketHideoutB1FRocket1AfterBattleText	0x5F66	0x61AA	0.865	MEDIUM_CONFIDENCE	0.800	0.767	0.043	0.815	0.000	0.998	0.815	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x61AA	AMBIGUOUS	0.815
_RocketHideoutB1FRocket2BattleText	0x5F84	0x61C1	0.923	HIGH_CONFIDENCE	0.833	0.968	0.067	0.874	0.000	0.982	0.874	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x61C1	AMBIGUOUS	0.874
_RocketHideoutB1FRocket2EndBattleText	0x5FA3	0x61DF	0.774	MEDIUM_CONFIDENCE	0.667	0.667	0.125	0.724	0.000	0.995	0.724	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x61DF	AMBIGUOUS	0.724
_RocketHideoutB1FRocket2AfterBattleText	0x5FAB	0x61EB	0.808	MEDIUM_CONFIDENCE	0.750	0.696	0.094	0.758	0.000	0.989	0.758	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x61EB	AMBIGUOUS	0.758
_RocketHideoutB1FRocket3BattleText	0x5FD9	0x620B	0.892	MEDIUM_CONFIDENCE	0.857	0.739	0.176	0.845	0.000	0.955	0.845	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x620B	AMBIGUOUS	0.845
_RocketHideoutB1FRocket3EndBattleText	0x5FEA	0x6222	0.856	MEDIUM_CONFIDENCE	0.800	0.714	0.133	0.807	0.000	0.984	0.807	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x6222	AMBIGUOUS	0.807
_RocketHideoutB1FRocket3AfterBattleText	0x5FF9	0x6237	0.917	HIGH_CONFIDENCE	0.875	0.897	0.094	0.868	0.000	0.981	0.868	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x6237	AMBIGUOUS	0.868
_RocketHideoutB1FRocket4BattleText	0x6020	0x625A	0.838	MEDIUM_CONFIDENCE	0.800	0.625	0.133	0.789	0.000	0.979	0.789	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x625A	AMBIGUOUS	0.789
_RocketHideoutB1FRocket4EndBattleText	0x6038	0x6269	0.998	HIGH_CONFIDENCE	1.000	0.882	0.133	0.950	0.000	0.953	0.950	2	DIRECT	BOUNDED	YES	SUSPICIOUS_MAPPING	0x6269	AMBIGUOUS	0.950
_RocketHideoutB1FRocket4AfterBattleText	0x6047	0x627A	0.895	MEDIUM_CONFIDENCE	0.857	0.817	0.062	0.845	0.000	0.999	0.845	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x627A	AMBIGUOUS	0.845
_RocketHideoutB1FRocket5BattleText	0x6078	0x62B6	0.974	HIGH_CONFIDENCE	0.923	0.968	0.133	0.925	0.000	0.971	0.925	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x62B6	AMBIGUOUS	0.925
_RocketHideoutB1FRocket5AfterBattleText	0x6097	0x62D4	0.975	HIGH_CONFIDENCE	0.933	0.944	0.125	0.926	0.000	0.976	0.926	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x62D4	AMBIGUOUS	0.926
_RocketHideoutB2FRocketBattleText	0x60BB	0x62F6	0.951	HIGH_CONFIDENCE	0.957	0.825	0.125	0.903	0.000	0.941	0.903	2	DIRECT	BOUNDED	YES	POSSIBLE_DELETION	0x62F6	AMBIGUOUS	0.903
_RocketHideoutB2FRocketEndBattleText	0x60EF	0x6335	0.836	MEDIUM_CONFIDENCE	0.857	0.700	0.143	0.836	0.000	0.000	0.039	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x6335	MEDIUM_CONFIDENCE	0.836
_RocketHideoutB2FRocketAfterBattleText	0x60FD	0x6349	0.742	MEDIUM_CONFIDENCE	0.625	0.713	0.062	0.692	0.000	0.994	0.692	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x6349	AMBIGUOUS	0.692
_RocketHideoutB3FRocket1BattleText	0x6140	0x63A7	0.882	MEDIUM_CONFIDENCE	0.800	0.851	0.094	0.833	0.000	0.970	0.833	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x63A7	AMBIGUOUS	0.833
_RocketHideoutB3FRocket1EndBattleText	0x6168	0x63D6	0.920	HIGH_CONFIDENCE	0.889	0.783	0.167	0.870	0.000	0.997	0.870	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x63D6	AMBIGUOUS	0.870
_RocketHideoutB3FRocket1AfterBattleText	0x617A	0x63ED	0.919	HIGH_CONFIDENCE	0.917	0.756	0.094	0.869	0.000	0.993	0.869	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x63ED	AMBIGUOUS	0.869
_RocketHideout3BattleText	0x61B8	0x643F	0.935	HIGH_CONFIDENCE	0.889	0.878	0.094	0.887	0.000	0.962	0.887	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x643F	AMBIGUOUS	0.887
_RocketHideout3EndBattleText3	0x61E9	0x646A	0.782	MEDIUM_CONFIDENCE	0.667	0.731	0.053	0.734	0.000	0.954	0.734	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x646A	AMBIGUOUS	0.734
_RocketHide3AfterBattleText3	0x61FC	0x6484	0.838	MEDIUM_CONFIDENCE	0.720	0.833	0.219	0.789	0.000	0.976	0.789	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x6484	AMBIGUOUS	0.789
_RocketHideoutB4FGiovanniImpressedYouGotHereText	0x623E	0x64BB	0.750	MEDIUM_CONFIDENCE	0.692	0.613	0.094	0.706	0.000	0.875	0.706	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x64BB	AMBIGUOUS	0.706
_RocketHideoutB4FGiovanniWhatCannotBeText	0x626C	0x6506	0.998	HIGH_CONFIDENCE	1.000	0.913	0.048	0.954	0.000	0.885	0.954	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x6506	AMBIGUOUS	0.954
_RocketHideoutB4FGiovanniHopeWeMeetAgainText	0x6283	0x651B	0.785	MEDIUM_CONFIDENCE	0.677	0.959	0.031	0.785	0.000	0.000	0.048	0	DIRECT	NONE	NO	POSSIBLE_DELETION	0x651B	MEDIUM_CONFIDENCE	0.785
_RocketHideoutB4FRocket1BattleText	0x6326	0x65C5	0.882	MEDIUM_CONFIDENCE	0.870	0.708	0.219	0.835	0.000	0.943	0.835	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x65C5	AMBIGUOUS	0.835
_RocketHideoutB4FRocket1EndBattleText	0x6354	0x6606	0.765	MEDIUM_CONFIDENCE	0.750	0.652	0.067	0.765	0.000	0.000	0.044	0	DIRECT	NONE	NO	POSSIBLE_INSERTION	0x6606	MEDIUM_CONFIDENCE	0.765
_RocketHideoutB4FRocket1AfterBattleText	0x6363	0x661D	0.898	MEDIUM_CONFIDENCE	0.857	0.773	0.125	0.850	0.000	0.966	0.850	2	DIRECT	BOUNDED	NO	POSSIBLE_INSERTION	0x661D	AMBIGUOUS	0.850
_RocketHideoutB4FRocket2BattleText	0x638F	0x663F	0.861	MEDIUM_CONFIDENCE	0.818	0.763	0.094	0.814	0.000	0.937	0.814	2	DIRECT	BOUNDED	NO	POSSIBLE_DELETION	0x663F	AMBIGUOUS	0.814
_RocketHideoutB4FRocket2EndBattleText	0x63BC	0x667A	1.000	HIGH_CONFIDENCE	1.000	0.889	0.250	0.955	0.000	0.942	0.955	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x667A	AMBIGUOUS	0.955
_RocketHideoutB4FRocket2AfterBattleText	0x63C4	0x6683	0.914	HIGH_CONFIDENCE	0.857	0.857	0.067	0.865	0.000	0.991	0.865	2	DIRECT	BOUNDED	YES	POSSIBLE_INSERTION	0x6683	AMBIGUOUS	0.865
